--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.017    0.017 _thread_flow.py:1(<module>)
     3156    0.017    0.000    0.017    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
     5680    0.017    0.000    0.017    0.000 {built-in method posix.fstat}
        1    0.000    0.000    0.017    0.017 runtime_wrappers.py:1(<module>)
        1    0.000    0.000    0.017    0.017 traveling_salesman.py:1(<module>)
        6    0.000    0.000    0.016    0.003 init.py:142(uniform_)
        6    0.000    0.000    0.016    0.003 init.py:15(_no_grad_uniform_)
        1    0.000    0.000    0.016    0.016 _init_utils.py:1(<module>)
       89    0.002    0.000    0.016    0.000 conflict.py:56(ordering)
        2    0.000    0.000    0.016    0.008 function.py:1(<module>)
     2791    0.012    0.000    0.016    0.000 inspect.py:3029(__init__)
    38435    0.014    0.000    0.015    0.000 {built-in method builtins.hasattr}
     9965    0.009    0.000    0.015    0.000 <frozen posixpath>:71(join)
